keyword,importance
erhugoh353,0.16324376536266635
book,0.16324376536266635
21,0.12494067682269187
2145945805,0.12480415014909338
3915870641,0.12480415014909338
938529965,0.12480415014909338
1001,0.12209459808122704
shrii,0.12205882135765098
8100,0.11648451352401597
02,0.11630510528233556
com,0.11628016307107623
2026,0.11624427747363428
0x31d496a,0.11588114242284532
microsoftaccount,0.11489622775831403
user,0.11489622775831403
25,0.09567471209861003
39,0.09567471209861003
25160,0.09567471209861003
1330682z,0.09567471209861003
17t17,0.09552205608554831
shrishail17,0.08872600245768388
hotmail,0.08872600245768388
0x3e7,0.08474793505105827
18,0.08474793505105827
workgroup,0.08400655541065963
exe,0.08394265719330177
windows,0.08392273247530672
system32,0.08351096640251336
svchost,0.08300448041800342
0x2b00,0.08286972610442181
gmail,0.0820583943138573
shrishailap007,0.0820583943138573
16t09,0.07468170404316193
37,0.07468170404316193
11,0.07468170404316193
10016,0.07468170404316193
6891755z,0.07468170404316193
administrator,0.032618396397012805
defaultaccount,0.032618396397012805
guest,0.032618396397012805
501,0.032531151326663676
500,0.032531151326663676
503,0.032531151326663676
3221226021,0.029021001911587636
windowslive,0.02825919745152471
serviceuri,0.028026669444281394
token,0.01678692069690551
cert,0.01678692069690551
0000,0.00976207219008871
nt,0.005981303691835465
authority,0.005981303691835465
0x31d48b5,0.005815538942087604
3221225567,0.005502553573759688
0x0,0.004956130032632552
tsesystemenvironmentprivilege,0.003893785142712484
tserestoreprivilege,0.003893785142712484
tsedebugprivilege,0.003893785142712484
tsetakeownershipprivilege,0.003893785142712484
tseloaddriverprivilege,0.003893785142712484
tseimpersonateprivilege,0.003893785142712484
tsebackupprivilege,0.003893785142712484
tsedelegatesessionuserimpersonateprivilege,0.003893785142712484
tsetcbprivilege,0.0037755077000758562
tsesecurityprivilege,0.0037755077000758562
seassignprimarytokenprivilege,0.0037755077000758562
tseauditprivilege,0.0037755077000758562
microsoft,0.0036388005464066775
02bfkxkihmbijtqu,0.003347126137721397
000000000000,0.0032540240633629103
00000000,0.0032540240633629103
1843,0.0032431980015738236
1833,0.003151483698780787
negotiate,0.003151483698780787
1842,0.0030756713768334233
0x4f4,0.0029940613810022164
services,0.0029940613810022164
advapi,0.0029940613810022164
0x67c0,0.002965857788102226
explorer,0.002965857788102226
8099,0.002698185450838286
2500,0.002681190485391628
key,0.002681190485391628
provider,0.002681190485391628
storage,0.002681190485391628
software,0.002681190485391628
chromemetricstestkey,0.002578270003645879
ecdsa_p256,0.002365793918349087
users,0.0010590262831939661
2464,0.0010152736334173129
b713,0.0009783289898898956
0975252c8115,0.0009783289898898956
4916,0.0009783289898898956
crypto,0.0009783289898898956
f613,0.0009783289898898956
00,0.000956764608868238
1e313dfb17707690d41bc1ce552b952a_dda81327,0.0009315409651494586
keys,0.0009315409651494586
appdata,0.0009315409651494586
shris,0.0009315409651494586
roaming,0.0009315409651494586
