timestamp,event_id,message,source,semantic_outlier_score,semantic_severity_score,cluster_id,semantic_category,pca_x,pca_y
2026-02-17 22:43:10,4624,"('S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', 'S-1-5-18', 'SYSTEM', 'NT AUTHORITY', '0x3e7', '5', 'Advapi  ', 'Negotiate', '-', '{00000000-0000-0000-0000-000000000000}', '-', '-', '0', '0x4f4', 'C:\\Windows\\System32\\services.exe', '-', '-', '%%1833', '-', '-', '-', '-', '%%1843', '0x0', '%%1842')",windows,0.65683216,0.5189557,0,File Access,0.40385816,0.11173442
2026-02-17 22:51:29,4624,"('S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', 'S-1-5-18', 'SYSTEM', 'NT AUTHORITY', '0x3e7', '5', 'Advapi  ', 'Negotiate', '-', '{00000000-0000-0000-0000-000000000000}', '-', '-', '0', '0x4f4', 'C:\\Windows\\System32\\services.exe', '-', '-', '%%1833', '-', '-', '-', '-', '%%1843', '0x0', '%%1842')",windows,0.65683216,0.5189557,0,File Access,0.40385816,0.11173442
2026-02-17 22:44:41,4624,"('S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', 'S-1-5-18', 'SYSTEM', 'NT AUTHORITY', '0x3e7', '5', 'Advapi  ', 'Negotiate', '-', '{00000000-0000-0000-0000-000000000000}', '-', '-', '0', '0x4f4', 'C:\\Windows\\System32\\services.exe', '-', '-', '%%1833', '-', '-', '-', '-', '%%1843', '0x0', '%%1842')",windows,0.65683216,0.5189557,0,File Access,0.40385816,0.11173442
2026-02-17 22:43:20,4624,"('S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', 'S-1-5-18', 'SYSTEM', 'NT AUTHORITY', '0x3e7', '5', 'Advapi  ', 'Negotiate', '-', '{00000000-0000-0000-0000-000000000000}', '-', '-', '0', '0x4f4', 'C:\\Windows\\System32\\services.exe', '-', '-', '%%1833', '-', '-', '-', '-', '%%1843', '0x0', '%%1842')",windows,0.65683216,0.5189557,0,File Access,0.40385816,0.11173442
2026-02-17 22:46:07,4624,"('S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', 'S-1-5-18', 'SYSTEM', 'NT AUTHORITY', '0x3e7', '5', 'Advapi  ', 'Negotiate', '-', '{00000000-0000-0000-0000-000000000000}', '-', '-', '0', '0x4f4', 'C:\\Windows\\System32\\services.exe', '-', '-', '%%1833', '-', '-', '-', '-', '%%1843', '0x0', '%%1842')",windows,0.65683216,0.5189557,0,File Access,0.40385816,0.11173442
2026-02-17 22:30:51,4616,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d48b5', '2026-02-17T17:00:51.9677676Z', '2026-02-17T17:00:51.5950000Z', '0x1970', 'C:\\Windows\\SecTimeSync.exe')",windows,0.63794136,0.5430083,9,File Access,0.26653022,0.16287433
2026-02-17 22:44:40,4798,"('shrii', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-1001', 'S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '0x5ce0', 'C:\\Windows\\System32\\taskhostw.exe')",windows,0.6284243,0.51339394,0,File Access,0.4864663,0.15004086
2026-02-17 22:44:37,5379,"('S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', 'MicrosoftAccount:user=02alhbsxdenopyhz', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.62809217,0.031481665,1,Authentication,0.06643076,-0.11285441
2026-02-17 22:44:37,5379,"('S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', 'MicrosoftAccount:user=02alhbsxdenopyhz', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.62809217,0.031481665,1,Authentication,0.06643076,-0.11285441
2026-02-17 22:44:36,5379,"('S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', 'MicrosoftAccount:user=02alhbsxdenopyhz', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.62809217,0.031481665,1,Authentication,0.06643076,-0.11285441
2026-02-17 22:44:37,5379,"('S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', 'MicrosoftAccount:user=02alhbsxdenopyhz', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.62809217,0.031481665,1,Authentication,0.06643076,-0.11285441
2026-02-17 22:44:37,5379,"('S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', 'MicrosoftAccount:user=02alhbsxdenopyhz', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.62809217,0.031481665,1,Authentication,0.06643076,-0.11285441
